,Company,Product,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_euros
1086,7,594,5,14,3,7,76,1,3,2,0,0,0,1,16,55,7,0,3,2,0,0,1495.0
1087,10,465,3,10,3,7,61,1,3,2,0,0,0,1,14,41,5,0,3,2,2,49,1199.0
1088,7,90,3,7,1,1,30,2,11,7,0,0,0,1,6,83,2,0,0,2,2,48,615.0
1089,0,73,3,14,1,5,117,3,0,0,0,0,0,0,13,9,8,0,1,2,0,88,387.0
1090,4,238,3,14,1,2,102,3,0,0,0,0,0,1,7,85,8,0,1,2,2,42,393.49
1091,7,50,3,14,1,4,72,3,0,0,0,0,0,1,11,36,11,0,1,2,2,49,345.99
1092,2,400,1,16,3,5,131,1,3,2,0,1,0,1,19,66,7,4,3,0,3,21,1599.0
1093,4,242,4,7,1,5,40,1,3,2,0,1,0,1,7,53,7,0,3,2,0,78,818.35
1094,7,116,2,5,1,7,117,3,0,0,0,0,0,1,14,41,4,0,3,2,2,49,1599.0
1095,0,77,3,14,3,5,117,1,3,2,0,0,0,1,16,46,7,4,3,0,3,28,799.0
1096,4,245,3,14,3,5,114,1,3,2,0,0,0,1,16,46,11,0,1,2,0,101,638.8
1097,11,179,1,16,3,5,125,1,3,2,0,0,0,1,17,58,7,0,3,2,3,32,1599.0
1098,7,49,3,14,1,5,81,3,0,0,0,0,0,1,7,86,11,0,1,2,2,44,500.0
1099,2,147,1,16,5,5,163,1,3,2,0,1,0,1,17,58,4,4,3,0,3,35,2299.0
1100,4,286,4,5,1,7,49,3,0,0,0,0,0,1,14,37,8,0,1,2,2,49,1135.15
1101,4,286,4,5,1,7,49,3,0,0,0,0,0,1,14,37,4,0,3,2,2,49,1166.97
1102,0,92,3,14,1,1,102,3,0,0,0,0,0,1,6,18,1,0,3,2,2,42,209.0
1103,7,595,5,16,3,7,143,1,3,2,0,1,0,1,17,58,11,0,1,2,0,3,2899.0
1104,10,291,1,14,5,5,117,1,3,2,0,0,0,1,19,66,10,0,3,2,3,18,1199.0
1105,4,286,4,5,3,7,49,3,0,0,0,0,0,1,14,41,7,0,3,2,2,49,1413.1
1106,11,151,1,16,3,5,140,1,3,2,0,0,0,1,17,58,4,4,3,0,3,31,1511.19
1107,10,581,0,14,1,5,93,1,3,2,1,1,0,1,14,41,7,0,3,2,2,49,867.0
1108,7,34,3,14,1,5,93,1,3,2,0,0,0,0,16,7,11,0,1,2,0,86,398.0
1109,2,395,1,14,5,5,123,1,3,2,0,1,0,1,17,58,4,4,3,0,3,31,1339.0
1110,7,108,3,7,3,5,16,2,11,7,1,0,0,1,2,28,7,0,3,2,2,48,1699.0
1111,4,546,3,14,1,7,105,3,0,0,0,0,0,1,14,41,8,0,1,2,0,91,769.15
1112,10,507,3,14,1,5,93,3,0,0,0,0,0,1,11,36,4,0,3,2,2,49,429.0
1113,7,419,4,7,3,5,16,1,3,2,0,0,0,1,16,55,10,0,3,2,2,49,1969.0
1114,10,592,0,0,1,0,0,3,3,3,1,1,0,1,5,17,3,0,0,2,2,43,549.0
1115,4,576,4,7,3,5,23,1,3,2,0,0,0,1,15,63,7,0,3,2,2,60,1379.0
1116,10,226,1,16,5,5,169,1,3,2,0,1,0,1,18,59,7,4,3,1,3,35,2749.99
1117,14,86,4,5,3,5,25,0,12,9,1,0,0,1,16,55,7,0,3,2,2,49,1029.0
1118,16,335,4,7,5,5,7,1,3,2,0,0,0,1,18,62,10,0,3,2,2,55,2226.0
1119,2,403,1,16,3,5,154,1,3,2,0,0,0,1,17,58,4,4,3,0,3,31,1312.49
1120,17,514,3,7,1,5,35,1,3,2,0,0,0,1,5,13,2,0,0,2,2,43,196.0
1121,7,419,3,7,3,5,16,1,3,2,0,0,0,1,14,41,7,0,3,2,2,49,1690.0
1122,7,109,3,10,3,7,43,1,3,2,0,0,0,1,14,41,7,0,3,2,2,49,1513.0
1123,4,288,3,14,1,2,92,3,0,0,0,0,0,1,14,41,8,0,1,2,2,49,523.63
1124,2,538,3,14,1,5,84,3,0,0,0,0,0,1,15,38,11,0,1,2,2,55,435.0
1125,10,474,0,10,3,5,68,1,3,2,1,1,0,1,16,55,7,0,3,2,2,49,1669.0
1126,10,592,0,0,1,5,0,3,3,3,1,1,0,1,5,17,3,0,0,2,2,43,479.0
1127,7,110,4,5,3,7,27,3,0,0,0,0,0,1,15,44,7,0,3,2,2,49,1895.0
1128,10,291,1,14,3,4,117,1,3,2,0,1,0,1,16,47,4,4,3,0,3,21,989.0
1129,7,311,1,16,3,5,150,1,3,2,0,1,0,1,14,43,4,4,3,0,3,21,1129.0
1130,7,27,3,14,3,5,87,3,0,0,0,0,0,1,18,62,12,0,1,2,2,55,629.0
1131,10,461,0,10,3,7,68,1,3,2,1,1,0,1,17,57,10,0,3,2,3,71,2050.38
1132,2,267,3,10,1,5,49,3,0,0,0,0,0,1,2,22,2,0,0,2,2,45,278.0
1133,7,50,4,14,3,5,70,1,3,2,0,0,0,1,18,62,7,0,3,2,2,55,752.0
1134,0,71,3,14,1,5,104,1,3,2,0,0,0,1,16,46,11,0,1,2,3,14,616.0
1135,10,216,3,14,5,5,120,1,3,2,0,0,0,1,16,55,11,0,2,2,0,98,1099.0
1136,7,595,5,16,3,7,143,1,3,2,0,1,0,1,17,58,7,0,3,2,3,70,3949.4
1137,4,245,3,14,3,5,120,3,0,0,0,0,0,1,16,46,11,0,1,2,0,101,784.0
1138,11,185,1,16,5,5,158,1,3,2,0,0,0,1,18,60,7,4,3,0,3,35,2399.0
1139,7,112,4,14,3,7,74,1,3,2,0,0,0,1,16,55,7,0,3,2,2,49,2171.72
1140,10,472,0,10,5,5,138,3,8,4,1,1,0,1,17,57,10,0,3,2,2,49,2440.0
1141,11,166,1,14,3,5,117,1,3,2,0,0,0,1,19,66,4,4,3,0,3,17,1142.8
1142,7,419,0,7,3,5,47,1,3,2,1,0,0,1,15,44,7,0,3,2,2,49,1629.0
1143,7,593,5,14,3,7,123,1,3,2,0,1,0,1,17,58,7,0,3,2,3,65,2229.0
1144,7,419,0,7,3,5,47,3,8,4,1,0,0,1,17,57,7,0,3,2,2,49,1799.0
1145,7,596,5,14,3,7,84,1,3,2,0,0,0,1,17,58,7,0,3,2,3,65,1899.0
1146,7,110,4,5,3,7,27,1,3,2,0,0,0,1,16,55,7,0,3,2,2,49,2296.95
1147,4,551,3,14,3,5,99,1,3,2,0,0,0,1,18,62,7,0,3,2,3,14,1009.9
1148,7,112,3,14,3,7,74,1,3,2,0,0,0,1,14,41,7,0,3,2,2,49,1579.0
1149,10,472,0,10,3,5,28,3,8,4,1,1,0,1,16,55,7,0,3,2,2,49,2339.0
1150,10,508,3,14,1,4,76,3,0,0,0,0,0,1,11,36,11,0,1,2,2,49,339.0
1151,7,4,3,14,1,5,72,3,0,0,0,0,0,0,8,74,8,0,1,2,0,84,297.0
1152,10,82,3,14,3,4,111,1,3,2,0,0,0,1,14,41,11,0,1,2,0,92,599.0
1153,4,256,1,14,3,5,126,1,3,2,0,0,0,1,19,66,11,0,1,2,3,20,1199.0
1154,4,577,3,14,3,5,87,0,12,9,1,1,0,1,14,43,7,0,3,2,3,15,2250.68
1155,7,30,3,14,1,5,77,1,3,2,0,0,0,0,16,8,7,0,3,2,0,77,478.89
1156,11,170,1,16,5,5,131,1,3,2,0,0,0,1,19,66,7,4,3,0,3,18,1492.8
1157,10,466,4,10,4,7,40,1,3,2,0,0,0,1,17,57,10,0,3,2,2,49,2299.0
1158,10,81,3,14,3,5,120,1,3,2,0,0,0,1,14,41,11,0,2,2,0,92,788.49
1159,7,419,0,7,3,5,47,3,8,4,1,0,0,1,17,57,10,0,3,2,2,49,2041.0
1160,10,465,4,10,3,7,61,1,3,2,0,0,0,1,17,57,7,0,3,2,2,49,1499.0
1161,11,173,1,10,5,5,61,1,3,2,0,0,0,1,17,58,7,4,3,0,3,33,1769.0
1162,7,327,1,14,3,5,126,1,3,2,0,1,0,1,19,66,11,0,1,2,3,17,899.0
1163,10,204,3,14,3,5,102,3,0,0,0,0,0,1,11,36,11,0,1,2,2,49,459.0
1164,7,48,3,14,1,4,93,3,0,0,0,0,0,1,14,41,8,0,1,2,2,49,476.99
1165,4,256,1,14,3,5,126,0,12,9,0,0,0,1,19,66,4,4,3,0,3,18,1498.0
1166,10,471,3,14,3,5,80,1,3,2,0,1,0,1,16,46,7,0,3,2,2,55,1390.0
1167,10,52,3,14,1,5,102,1,3,2,0,0,0,1,11,36,11,0,1,2,3,9,468.0
1168,7,426,3,10,0,5,44,3,0,0,0,0,0,1,7,21,2,0,0,2,2,43,249.0
1169,11,322,1,14,3,5,102,1,3,2,0,1,0,1,18,62,11,0,1,2,3,17,839.0
1170,7,49,3,14,3,5,81,1,3,2,0,0,0,1,16,55,7,0,3,2,2,49,679.0
1171,7,363,3,14,5,5,93,1,3,2,0,0,0,1,8,70,10,0,3,2,2,109,1159.0
1172,2,567,3,14,1,5,102,3,0,0,0,0,0,1,7,20,8,0,1,2,2,42,369.0
1173,10,512,3,14,1,4,93,3,0,0,0,0,0,1,14,41,8,0,1,2,2,49,398.0
1174,10,217,3,14,3,4,102,1,3,2,0,0,0,1,18,62,11,0,1,2,3,14,709.0
1175,2,499,3,10,1,5,84,1,3,2,0,0,0,1,15,38,7,0,3,2,2,55,769.0
1176,10,83,3,14,1,7,111,1,3,2,0,0,0,1,16,55,11,0,2,2,2,49,825.0
1177,10,225,1,14,5,5,149,1,3,2,0,1,0,1,17,58,10,0,3,2,3,29,1305.0
1178,11,175,1,14,5,5,77,1,3,2,0,0,0,1,17,58,4,4,3,0,3,33,2153.37
1179,7,363,3,14,1,5,90,3,0,0,0,0,0,1,14,37,8,0,1,2,2,49,650.0
1180,10,472,0,10,3,5,36,3,8,4,1,1,0,1,14,41,7,0,3,2,2,49,1637.0
1181,10,203,4,14,2,5,50,1,3,2,0,0,0,1,18,62,7,0,3,2,3,7,831.0
1182,4,551,3,14,3,2,82,1,3,2,0,0,0,1,18,62,7,0,3,2,3,16,895.01
1183,0,58,3,14,1,5,93,3,0,0,0,0,0,1,11,22,8,0,1,2,2,45,333.0
1184,7,325,3,14,2,5,99,1,3,2,0,1,0,1,17,58,11,0,1,2,3,31,799.0
1185,2,396,1,14,3,5,124,1,3,2,0,1,0,1,17,58,7,4,3,0,3,31,909.0
1186,4,249,0,14,5,5,92,1,3,2,1,0,0,1,18,62,10,0,3,2,2,55,1179.0
1187,0,71,3,14,1,5,104,1,3,2,0,0,0,1,16,46,7,0,3,2,3,14,691.0
1188,4,576,4,7,3,2,23,2,11,7,1,0,0,1,15,44,7,0,3,2,2,49,1099.0
1189,0,356,1,16,5,5,162,1,3,2,0,1,0,1,19,66,7,4,3,0,3,22,2599.0
1190,10,291,1,14,3,5,117,1,3,2,0,1,0,1,16,47,11,0,1,2,3,17,819.0
1191,15,101,0,4,1,1,15,3,7,6,1,1,0,2,11,72,2,0,0,2,1,63,659.0
1192,7,50,3,14,1,5,72,3,0,0,0,0,0,1,16,46,8,0,1,2,2,55,485.0
1193,1,298,4,3,3,3,3,3,6,4,0,1,1,1,2,26,7,0,0,2,2,51,1163.0
1194,4,253,0,7,3,5,55,1,3,2,1,1,0,1,16,46,7,0,3,2,2,55,1199.0
1195,7,328,3,14,4,5,103,1,3,2,0,1,0,1,19,66,4,4,3,0,3,17,1327.0
1196,10,509,3,14,1,4,76,3,0,0,0,0,0,1,11,36,11,0,1,2,0,95,368.0
1197,2,392,1,16,5,5,163,1,3,2,0,1,0,1,17,58,10,4,3,0,3,35,2150.0
1198,0,58,3,14,1,2,93,3,0,0,0,0,0,1,11,22,11,0,1,2,2,45,272.0
1199,11,180,1,16,5,5,118,1,3,2,0,0,0,1,19,66,7,4,3,0,3,21,2048.9
1200,4,245,3,14,1,5,109,3,0,0,0,0,0,1,11,36,4,0,3,2,0,100,499.0
1201,10,204,3,14,3,4,102,3,0,0,0,0,0,1,16,55,8,0,1,2,3,8,629.0
1202,4,250,0,14,5,5,84,1,3,2,1,0,0,1,8,70,10,0,3,2,2,109,1285.0
1203,4,576,4,7,5,5,20,2,11,7,1,0,0,1,18,62,10,0,3,2,2,55,2680.0
1204,2,131,1,14,3,5,102,1,3,2,0,0,0,1,17,58,11,0,1,2,3,21,1169.0
1205,4,245,3,14,3,5,114,1,3,2,0,0,0,1,16,46,7,0,3,2,0,101,889.0
1206,7,25,3,14,3,5,77,3,0,0,0,0,0,1,16,46,7,0,3,2,2,55,579.0
